trial_id,method,evaluation_index,lambda,gamma,log_lam,log_gam,objective_value,mean_return,mean_risk,stability_score
7,Grid Search,0,0.01,0.01,-2.0,-2.0,-0.12083200452265805,0.05749993411275485,0.026874914686622408,0.024916421852433618
2,Grid Search,0,0.01,0.01,-2.0,-2.0,-0.04428764262606431,0.05749993710262173,0.02687492244254253,0.009607546968720196
6,Grid Search,0,0.01,0.01,-2.0,-2.0,-0.061172466286734124,0.05749993703361286,0.02687492198817518,0.012984511868799325
3,Grid Search,0,0.01,0.01,-2.0,-2.0,-0.11620929645408457,0.05749994193056063,0.02687492864813301,0.023991876217675834
1,Grid Search,0,0.01,0.01,-2.0,-2.0,-0.027390311175657565,0.057499981626224286,0.0268749627467017,0.006228073461695691
4,Grid Search,0,0.01,0.01,-2.0,-2.0,-0.03000008268204362,0.057499935944742536,0.026874918051393065,0.006750036504800005
5,Grid Search,0,0.01,0.01,-2.0,-2.0,-0.010932903218152656,0.057499936382517255,0.026874918717827923,0.002936600433002813
0,Grid Search,0,0.01,0.01,-2.0,-2.0,-0.05849434293655691,0.05749994341910529,0.026874931985222287,0.012448884477043527
3,Grid Search,1,0.01,0.027825594022071243,-2.0,-1.5555555555555556,-0.020623948349943442,0.05750001379415477,0.026875012466029337,0.004874787442407908
7,Grid Search,1,0.01,0.027825594022071243,-2.0,-1.5555555555555556,-0.10080995078876454,0.05750001659993338,0.02687501745811945,0.020911986494491806
2,Grid Search,1,0.01,0.027825594022071243,-2.0,-1.5555555555555556,-0.03460752968240029,0.05750000753404305,0.026875006185502644,0.0076715049690876105
6,Grid Search,1,0.01,0.027825594022071243,-2.0,-1.5555555555555556,-0.0620652894738015,0.057500019688500256,0.026875021279413634,0.013163053320694899
5,Grid Search,1,0.01,0.027825594022071243,-2.0,-1.5555555555555556,-0.03327711949459057,0.057500018915740914,0.026875020022163434,0.007405419673200923
1,Grid Search,1,0.01,0.027825594022071243,-2.0,-1.5555555555555556,-0.05435960261357277,0.05750001692809871,0.026875016657999785,0.011621917245134382
4,Grid Search,1,0.01,0.027825594022071243,-2.0,-1.5555555555555556,-0.06392478203054813,0.057500015124438836,0.02687501255854154,0.01353495440758078
0,Grid Search,1,0.01,0.027825594022071243,-2.0,-1.5555555555555556,-0.02538495573054855,0.05750002016162488,0.02687502144783541,0.005826986599300522
7,Grid Search,2,0.01,0.0774263682681127,-2.0,-1.1111111111111112,-0.05206291570995492,0.05750005799743345,0.026875062454330717,0.011162569759745387
3,Grid Search,2,0.01,0.0774263682681127,-2.0,-1.1111111111111112,-0.005524102868790445,0.057500011068659165,0.026875013780991806,0.0018548172750931999
6,Grid Search,2,0.01,0.0774263682681127,-2.0,-1.1111111111111112,-0.0008632069506757517,0.05750001166947202,0.026875014256643282,0.000922638021372242
2,Grid Search,2,0.01,0.0774263682681127,-2.0,-1.1111111111111112,-0.006984637695599455,0.05750001479269659,0.026875016494301105,0.002146923899938767
5,Grid Search,2,0.01,0.0774263682681127,-2.0,-1.1111111111111112,-0.010614665422696744,0.057500020320328415,0.026875021932063703,0.002872928375779551
1,Grid Search,2,0.01,0.0774263682681127,-2.0,-1.1111111111111112,0.003210748556826349,0.05750001487927417,0.026875016085457813,0.00010784683030643905
0,Grid Search,2,0.01,0.0774263682681127,-2.0,-1.1111111111111112,0.0031344258699019314,0.05750001108100054,0.026875008654825335,0.00012311358028958827
4,Grid Search,2,0.01,0.0774263682681127,-2.0,-1.1111111111111112,-0.0012191952427319666,0.05750001878359633,0.026875020404507413,0.0009938346434626934
3,Grid Search,3,0.01,0.21544346900318834,-2.0,-0.6666666666666667,0.0032223241924133807,0.05750000635506436,0.026875007168064787,0.00010553356530428082
